API,Example,Bug
"
 torch. as_tensor ( data ,  dtype ,  device )   → ¶",">>> a=numpy.array([1,2,3])
>>> t=torch.as_tensor(a)
>>> t
tensor([ 1,  2,  3])
>>> t[0]=-1
>>> a
array([-1,  2,  3])>>> a=numpy.array([1,2,3])
>>> t=torch.as_tensor(a,device=torch.device('cuda'))
>>> t
tensor([ 1,  2,  3])
>>> t[0]=-1
>>> a
array([1,  2,  3])
","  File ""example.py"", line 7
    array([-1,  2,  3])a=numpy.array([1,2,3])
                       ^
SyntaxError: invalid syntax
"
"
 torch. set_default_tensor_type ( t ) [source] ¶",">>> torch.tensor([1.2,3]).dtype
>>> torch.set_default_tensor_type(torch.DoubleTensor)
","Traceback (most recent call last):
  File ""/home/nimashiri/.local/lib/python3.8/site-packages/torch/decorate_func.py"", line 13, in json_serialize
    json.dumps(v)
  File ""/usr/lib/python3.8/json/__init__.py"", line 231, in dumps
    return _default_encoder.encode(obj)
  File ""/usr/lib/python3.8/json/encoder.py"", line 199, in encode
    chunks = self.iterencode(o, _one_shot=True)
  File ""/usr/lib/python3.8/json/encoder.py"", line 257, in iterencode
    return _iterencode(o, 0)
  File ""/usr/lib/python3.8/json/encoder.py"", line 179, in default
    raise TypeError(f'Object of type {o.__class__.__name__} '
TypeError: Object of type tensortype is not JSON serializable

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File ""/home/nimashiri/.local/lib/python3.8/site-packages/torch/decorate_func.py"", line 56, in get_var_shape
    return list(s)  # convert torch.Size to list
TypeError: 'getset_descriptor' object is not iterable

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File ""example.py"", line 3, in <module>
    torch.set_default_tensor_type(torch.DoubleTensor)
  File ""/home/nimashiri/.local/lib/python3.8/site-packages/torch/decorate_func.py"", line 102, in wrapper
    param_dict = build_param_dict(*args, **kwargs)
  File ""/home/nimashiri/.local/lib/python3.8/site-packages/torch/decorate_func.py"", line 42, in build_param_dict
    param_dict['parameter:%d' % ind] = json_serialize(arg)
  File ""/home/nimashiri/.local/lib/python3.8/site-packages/torch/decorate_func.py"", line 17, in json_serialize
    return get_var_signature(
  File ""/home/nimashiri/.local/lib/python3.8/site-packages/torch/decorate_func.py"", line 88, in get_var_signature
    s['shape'] = get_var_shape(var)
  File ""/home/nimashiri/.local/lib/python3.8/site-packages/torch/decorate_func.py"", line 58, in get_var_shape
    print(e.message)
AttributeError: 'TypeError' object has no attribute 'message'
"
"
 torch. randint ( low=0 ,  high ,  size ,  \* ,  generator=None ,  out=None ,  dtype=None ,  layout=torch.strided ,  device=None ,  requires_grad=False )   → ¶",">>> torch.randint(3,5,(3,))
>>> torch.randint(10,(2,2))
>>> torch.randint(3,10,(2,2))","  File ""example.py"", line 3
    tensor([4, 3, 4])torch.randint(10,(2,2))
                     ^
SyntaxError: invalid syntax
"
"
 torch. tensor ( data ,  * ,  dtype ,  device ,  requires_grad ,  pin_memory )   → ¶",">>> torch.tensor([[0.1,1.2],[2.2,3.1],[4.9,5.2]])
>>> torch.tensor([0,1])# Type inference on data
>>> torch.tensor([[0.11111,0.222222,0.3333333]], dtype=torch.float64, device=torch.device('cuda:0'))
>>> torch.tensor(3.14159)
","  File ""example.py"", line 3
    [ 4.9000,  5.2000]])torch.tensor([0,1])# Type inference on data
    ^
IndentationError: unexpected indent
"
"
 torch. sparse_coo_tensor ( indices ,  values ,  size ,  * ,  dtype ,  device ,  requires_grad )   → ¶",">>> i=torch.tensor([[0,1,1],[2,0,2]])
>>> v=torch.tensor([3,4,5],dtype=torch.float32)
>>> torch.sparse_coo_tensor(i,v,[2,4])
>>> torch.sparse_coo_tensor(i,v)# Shape inference
tensor(indices=tensor([[0, 1, 1],
                       [2, 0, 2]]),
       values=tensor([3., 4., 5.]),
       Size=(2, 3), nnz=3, layout=torch.sparse_coo)>>> torch.sparse_coo_tensor(i,v,[2,4],
... dtype=torch.float64,
... device=torch.device('cuda:0'))
tensor(indices=tensor([[0, 1, 1],
                       [2, 0, 2]]),
       values=tensor([3., 4., 5.]),
       device='cuda:0', size=(2, 4), nnz=3, dtype=torch.float64,
       layout=torch.sparse_coo)# Create an empty sparse tensor with the following invariants:
#   1. sparse_dim + dense_dim = len(SparseTensor.shape)
#   2. SparseTensor._indices().shape = (sparse_dim, nnz)
#   3. SparseTensor._values().shape = (nnz, SparseTensor.shape[sparse_dim:])
#
# For instance, to create an empty sparse tensor with nnz = 0, dense_dim = 0 and
# sparse_dim = 1 (hence indices is a 2D tensor of shape = (1, 0))
>>> S=torch.sparse_coo_tensor(torch.empty([1,0]),[],[1])
tensor(indices=tensor([], size=(1, 0)),
       values=tensor([], size=(0,)),
       size=(1,), nnz=0, layout=torch.sparse_coo)# and to create an empty sparse tensor with nnz = 0, dense_dim = 1 and
# sparse_dim = 1
>>> S=torch.sparse_coo_tensor(torch.empty([1,0]),torch.empty([0,2]),[1,2])
tensor(indices=tensor([], size=(1, 0)),
       values=tensor([], size=(0, 2)),
       size=(1, 2), nnz=0, layout=torch.sparse_coo)
","  File ""example.py"", line 3
    v=torch.tensor([3,4,5],dtype=torch.float32)
     ^
SyntaxError: invalid syntax
"
"
 torch. asarray ( obj ,  * ,  dtype ,  device ,  copy ,  requires_grad )   → ¶",">>> a=torch.tensor([1,2,3])
>>> # Shares memory with tensor 'a'
>>> b=torch.asarray(a)
>>> a.data_ptr()==b.data_ptr()
True
>>> # Forces memory copy
>>> c=torch.asarray(a,copy=True)
>>> a.data_ptr()==c.data_ptr()
False>>> a=torch.tensor([1,2,3],requires_grad=True).float()
>>> b=a+2
>>> b
tensor([1., 2., 3.], grad_fn=<AddBackward0>)
>>> # Shares memory with tensor 'b', with no grad
>>> c=torch.asarray(b)
>>> c
tensor([1., 2., 3.])
>>> # Shares memory with tensor 'b', retaining autograd history
>>> d=torch.asarray(b,requires_grad=True)
>>> d
tensor([1., 2., 3.], grad_fn=<AddBackward0>)>>> array=numpy.array([1,2,3])
>>> # Shares memory with array 'array'
>>> t1=torch.asarray(array)
>>> array.__array_interface__['data'][0]==t1.data_ptr()
True
>>> # Copies memory due to dtype mismatch
>>> t2=torch.asarray(array,dtype=torch.float32)
>>> array.__array_interface__['data'][0]==t1.data_ptr()
False
","  File ""example.py"", line 18
    tensor([1., 2., 3.], grad_fn=<AddBackward0>)array=numpy.array([1,2,3])
                                 ^
SyntaxError: invalid syntax
"
"
 torch. as_tensor ( data ,  dtype ,  device )   → ¶",">>> a=numpy.array([1,2,3])
>>> t=torch.as_tensor(a)
>>> t
tensor([ 1,  2,  3])
>>> t[0]=-1
>>> a
array([-1,  2,  3])>>> a=numpy.array([1,2,3])
>>> t=torch.as_tensor(a,device=torch.device('cuda'))
>>> t
tensor([ 1,  2,  3])
>>> t[0]=-1
>>> a
array([1,  2,  3])
","  File ""example.py"", line 7
    array([-1,  2,  3])a=numpy.array([1,2,3])
                       ^
SyntaxError: invalid syntax
"
"
 torch. from_numpy ( ndarray )   → ¶",">>> a=numpy.array([1,2,3])
>>> t=torch.from_numpy(a)
>>> t
tensor([ 1,  2,  3])
>>> t[0]=-1
>>> a
array([-1,  2,  3])
","Traceback (most recent call last):
  File ""example.py"", line 2, in <module>
    a=numpy.array([1,2,3])
NameError: name 'numpy' is not defined
"
"
 torch. frombuffer ( buffer ,  * ,  dtype ,  count ,  offset ,  requires_grad )   → ¶",">>> importarray
>>> a=array.array('i',[1,2,3])
>>> t=torch.frombuffer(a,dtype=torch.int32)
>>> t
tensor([ 1,  2,  3])
>>> t[0]=-1
>>> a
array([-1,  2,  3])>>> # Interprets the signed char bytes as 32-bit integers.
>>> # Each 4 signed char elements will be interpreted as
>>> # 1 signed 32-bit integer.
>>> importarray
>>> a=array.array('b',[-1,0,0,0])
>>> torch.frombuffer(a,dtype=torch.int32)
tensor([255], dtype=torch.int32)
","Traceback (most recent call last):
  File ""example.py"", line 2, in <module>
    importarray
NameError: name 'importarray' is not defined
"
"
 torch. zeros ( *size ,  * ,  out=None ,  dtype=None ,  layout=torch.strided ,  device=None ,  requires_grad=False )   → ¶",">>> torch.zeros(2,3)
tensor([[ 0.,  0.,  0.],
        [ 0.,  0.,  0.]])>>> torch.zeros(5)
tensor([ 0.,  0.,  0.,  0.,  0.])
","  File ""example.py"", line 3
    [ 0.,  0.,  0.]])torch.zeros(5)
    ^
IndentationError: unexpected indent
"
