Path, Error
/media/nimashiri/SSD1/torch_api_examples/3180.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/3180.py"", line 5, in <module>
    torch.corrcoef(x)
AttributeError: module 'torch' has no attribute 'corrcoef'
"
/media/nimashiri/SSD1/torch_api_examples/5790.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/5790.py"", line 5, in <module>
    net=torch.nn.DataParallel(model,device_ids=[0,1,2])
NameError: name 'model' is not defined
"
/media/nimashiri/SSD1/torch_api_examples/5800.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/5800.py"", line 5, in <module>
    torch.distributed.init_process_group(backend='nccl',world_size=4,init_method='...')
  File ""/home/nimashiri/.local/lib/python3.8/site-packages/torch/distributed/distributed_c10d.py"", line 497, in init_process_group
    rendezvous_iterator = rendezvous(
  File ""/home/nimashiri/.local/lib/python3.8/site-packages/torch/distributed/rendezvous.py"", line 82, in rendezvous
    raise RuntimeError(""No rendezvous handler for {}://"".format(result.scheme))
RuntimeError: No rendezvous handler for ://
"
/media/nimashiri/SSD1/torch_api_examples/60.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/60.py"", line 8, in <module>
    torch.is_nonzero(torch.tensor([1,3,5]))
  File ""/home/nimashiri/.local/lib/python3.8/site-packages/torch/decorate_func.py"", line 99, in wrapper
    outputs = func(*args, **kwargs)
RuntimeError: Boolean value of Tensor with more than one value is ambiguous
"
/media/nimashiri/SSD1/torch_api_examples/6060.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/6060.py"", line 5, in <module>
    m=torch.nn.utils.skip_init(torch.nn.Linear,5,1)
AttributeError: module 'torch.nn.utils' has no attribute 'skip_init'
"
/media/nimashiri/SSD1/torch_api_examples/6070.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/6070.py"", line 5, in <module>
    orth_linear=torch.nn.utils.parametrizations.orthogonal(nn.Linear(20,40))
AttributeError: module 'torch.nn.utils' has no attribute 'parametrizations'
"
/media/nimashiri/SSD1/torch_api_examples/6080.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/6080.py"", line 7, in <module>
    torch.linalg.matrix_norm(snm.weight,2)
AttributeError: module 'torch.linalg' has no attribute 'matrix_norm'
"
/media/nimashiri/SSD1/torch_api_examples/14490.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/14490.py"", line 4, in <module>
    f_add=torch.ao.nn.quantized.FloatFunctional()
AttributeError: module 'torch' has no attribute 'ao'
"
/media/nimashiri/SSD1/torch_api_examples/14620.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/14620.py"", line 5, in <module>
    sparse=dense.to_sparse_coo()
AttributeError: 'Tensor' object has no attribute 'to_sparse_coo'
"
/media/nimashiri/SSD1/torch_api_examples/14690.py,"  File ""/media/nimashiri/SSD1/torch_api_examples/14690.py"", line 7
    V=torch.randn(nnz,dims[2],dims[3])
     ^
SyntaxError: invalid syntax
"
/media/nimashiri/SSD1/torch_api_examples/14700.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/14700.py"", line 4, in <module>
    input=torch.eye(3,device='cuda').to_sparse_csr()
AttributeError: 'Tensor' object has no attribute 'to_sparse_csr'
"
/media/nimashiri/SSD1/torch_api_examples/14720.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/14720.py"", line 6, in <module>
    s=torch.sparse.spdiags(diags,torch.tensor([0,-1,-2]),(3,3))
AttributeError: module 'torch.sparse' has no attribute 'spdiags'
"
/media/nimashiri/SSD1/torch_api_examples/14721.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/14721.py"", line 6, in <module>
    s=torch.sparse.spdiags(diags,torch.tensor([0,-1,-2]),(3,3),layout=torch.sparse_csr)
AttributeError: module 'torch.sparse' has no attribute 'spdiags'
"
/media/nimashiri/SSD1/torch_api_examples/1610.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/1610.py"", line 8, in <module>
    torch.clamp(a,min=min)
  File ""/home/nimashiri/.local/lib/python3.8/site-packages/torch/decorate_func.py"", line 99, in wrapper
    outputs = func(*args, **kwargs)
TypeError: clamp(): argument 'min' must be Number, not Tensor
"
/media/nimashiri/SSD1/torch_api_examples/1650.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/1650.py"", line 4, in <module>
    torch.conj_physical(torch.tensor([-1+1j,-2+2j,3-3j]))
AttributeError: module 'torch' has no attribute 'conj_physical'
"
/media/nimashiri/SSD1/torch_api_examples/1790.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/1790.py"", line 10, in <module>
    torch.fake_quantize_per_channel_affine(x,scales,zero_points,1,0,255)
  File ""/home/nimashiri/.local/lib/python3.8/site-packages/torch/decorate_func.py"", line 99, in wrapper
    outputs = func(*args, **kwargs)
RuntimeError: Zero-point must be Long, found Int
"
/media/nimashiri/SSD1/torch_api_examples/1880.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/1880.py"", line 5, in <module>
    mantissa,exponent=torch.frexp(x)
AttributeError: module 'torch' has no attribute 'frexp'
"
/media/nimashiri/SSD1/torch_api_examples/1890.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/1890.py"", line 7, in <module>
    torch.gradient(values,spacing=coordinates)
AttributeError: module 'torch' has no attribute 'gradient'
"
/media/nimashiri/SSD1/torch_api_examples/2160.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/2160.py"", line 6, in <module>
    torch.positive(t)
AttributeError: module 'torch' has no attribute 'positive'
"
/media/nimashiri/SSD1/torch_api_examples/2240.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/2240.py"", line 9, in <module>
    torch.round(torch.tensor([0.1234567]),decimals=3)
  File ""/home/nimashiri/.local/lib/python3.8/site-packages/torch/decorate_func.py"", line 99, in wrapper
    outputs = func(*args, **kwargs)
TypeError: round() got an unexpected keyword argument 'decimals'
"
/media/nimashiri/SSD1/torch_api_examples/230.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/230.py"", line 6, in <module>
    b=torch.asarray(a)
AttributeError: module 'torch' has no attribute 'asarray'
"
/media/nimashiri/SSD1/torch_api_examples/2450.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/2450.py"", line 4, in <module>
    torch.aminmax(torch.tensor([1,-3,5]))
AttributeError: module 'torch' has no attribute 'aminmax'
"
/media/nimashiri/SSD1/torch_api_examples/2510.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/2510.py"", line 4, in <module>
    x=torch.tensor([[torch.nan,1,2],[1,2,3]])
AttributeError: module 'torch' has no attribute 'nan'
"
/media/nimashiri/SSD1/torch_api_examples/2550.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/2550.py"", line 4, in <module>
    importtorch
NameError: name 'importtorch' is not defined
"
/media/nimashiri/SSD1/torch_api_examples/2580.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/2580.py"", line 11, in <module>
    torch.quantile(a,0.6,interpolation='linear')
  File ""/home/nimashiri/.local/lib/python3.8/site-packages/torch/decorate_func.py"", line 99, in wrapper
    outputs = func(*args, **kwargs)
TypeError: quantile() received an invalid combination of arguments - got (Tensor, float, interpolation=str), but expected one of:
 * (Tensor input, Tensor q, int dim, bool keepdim, *, Tensor out)
 * (Tensor input, float q, int dim, bool keepdim, *, Tensor out)

"
/media/nimashiri/SSD1/torch_api_examples/270.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/270.py"", line 6, in <module>
    t2=torch.from_dlpack(t)
AttributeError: module 'torch' has no attribute 'from_dlpack'
"
/media/nimashiri/SSD1/torch_api_examples/280.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/280.py"", line 6, in <module>
    t=torch.frombuffer(a,dtype=torch.int32)
AttributeError: module 'torch' has no attribute 'frombuffer'
"
/media/nimashiri/SSD1/torch_api_examples/2950.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/2950.py"", line 9, in <module>
    x.sort(stable=True)
TypeError: sort() received an invalid combination of arguments - got (stable=bool, ), but expected one of:
 * (name dim, bool descending)
 * (int dim, bool descending)

"
/media/nimashiri/SSD1/torch_api_examples/13390.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/13390.py"", line 5, in <module>
    Ainv,info=torch.linalg.inv_ex(A)
AttributeError: module 'torch.linalg' has no attribute 'inv_ex'
"
/media/nimashiri/SSD1/torch_api_examples/1760.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/1760.py"", line 4, in <module>
    torch.exp(torch.tensor([0,math.log(2.)]))
NameError: name 'math' is not defined
"
/media/nimashiri/SSD1/torch_api_examples/3300.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/3300.py"", line 17, in <module>
    torch.einsum(As,[...,0,1],Bs,[...,1,2],[...,0,2])
  File ""/home/nimashiri/.local/lib/python3.8/site-packages/torch/decorate_func.py"", line 99, in wrapper
    outputs = func(*args, **kwargs)
  File ""/home/nimashiri/.local/lib/python3.8/site-packages/torch/functional.py"", line 408, in einsum
    return _VF.einsum(equation, operands)  # type: ignore
TypeError: einsum(): argument 'equation' (position 1) must be str, not Tensor
"
/media/nimashiri/SSD1/torch_api_examples/3990.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/3990.py"", line 13, in <module>
    torch.allclose(torch.matmul(q.mT,q),torch.eye(5))
AttributeError: 'Tensor' object has no attribute 'mT'
"
/media/nimashiri/SSD1/torch_api_examples/570.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/570.py"", line 5, in <module>
    x.is_conj()
AttributeError: 'Tensor' object has no attribute 'is_conj'
"
/media/nimashiri/SSD1/torch_api_examples/6230.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/6230.py"", line 7, in <module>
    torch.nn.Conv1d(inputs,filters)
  File ""/home/nimashiri/.local/lib/python3.8/site-packages/torch/decorate_cls.py"", line 98, in new_init
    old_init(self, *args, **kwargs)
TypeError: __init__() missing 1 required positional argument: 'kernel_size'
"
/media/nimashiri/SSD1/torch_api_examples/3390.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/3390.py"", line 4, in <module>
    torch.histogram(torch.tensor([1.,2,1]),bins=4,range=(0.,3.),weight=torch.tensor([1.,2.,4.]))
AttributeError: module 'torch' has no attribute 'histogram'
"
/media/nimashiri/SSD1/torch_api_examples/340.py,"/home/nimashiri/.local/lib/python3.8/site-packages/torch/decorate_func.py:99: UserWarning: torch.range is deprecated and will be removed in a future release because its behavior is inconsistent with Python's range builtin. Instead, use torch.arange, which produces values in [start, end).
  outputs = func(*args, **kwargs)
"
/media/nimashiri/SSD1/torch_api_examples/3410.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/3410.py"", line 6, in <module>
    grid_x,grid_y=torch.meshgrid(x,y,indexing='ij')
  File ""/home/nimashiri/.local/lib/python3.8/site-packages/torch/decorate_func.py"", line 99, in wrapper
    outputs = func(*args, **kwargs)
TypeError: meshgrid() got an unexpected keyword argument 'indexing'
"
/media/nimashiri/SSD1/torch_api_examples/3460.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/3460.py"", line 10, in <module>
    torch.repeat_interleave(y,torch.tensor([1,2]),dim=0,output_size=3)
  File ""/home/nimashiri/.local/lib/python3.8/site-packages/torch/decorate_func.py"", line 99, in wrapper
    outputs = func(*args, **kwargs)
TypeError: repeat_interleave() received an invalid combination of arguments - got (Tensor, Tensor, output_size=int, dim=int), but expected one of:
 * (Tensor input, Tensor repeats, int dim)
 * (Tensor input, int repeats, int dim)
 * (Tensor repeats)

"
/media/nimashiri/SSD1/torch_api_examples/3480.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/3480.py"", line 9, in <module>
    torch.searchsorted(sorted_sequence,values,side='right')
  File ""/home/nimashiri/.local/lib/python3.8/site-packages/torch/decorate_func.py"", line 99, in wrapper
    outputs = func(*args, **kwargs)
TypeError: searchsorted() received an invalid combination of arguments - got (Tensor, Tensor, side=str), but expected one of:
 * (Tensor sorted_sequence, Tensor input, *, bool out_int32, bool right, Tensor out)
 * (Tensor sorted_sequence, Number self, *, bool out_int32, bool right)

"
/media/nimashiri/SSD1/torch_api_examples/3590.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/3590.py"", line 6, in <module>
    y.is_conj()
AttributeError: 'Tensor' object has no attribute 'is_conj'
"
/media/nimashiri/SSD1/torch_api_examples/3600.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/3600.py"", line 7, in <module>
    z.is_neg()
AttributeError: 'Tensor' object has no attribute 'is_neg'
"
/media/nimashiri/SSD1/torch_api_examples/3680.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/3680.py"", line 5, in <module>
    a=a@a.mT+1e-3# make symmetric positive-definite
AttributeError: 'Tensor' object has no attribute 'mT'
"
/media/nimashiri/SSD1/torch_api_examples/3690.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/3690.py"", line 11, in <module>
    a=a@a.mT+1e-03# make symmetric positive-definite
AttributeError: 'Tensor' object has no attribute 'mT'
"
/media/nimashiri/SSD1/torch_api_examples/3840.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/3840.py"", line 6, in <module>
    LU,pivots=torch.linalg.lu_factor(A)
AttributeError: module 'torch.linalg' has no attribute 'lu_factor'
"
/media/nimashiri/SSD1/torch_api_examples/3850.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/3850.py"", line 7, in <module>
    A_factor=torch.linalg.lu_factor(A)
AttributeError: module 'torch.linalg' has no attribute 'lu_factor'
"
/media/nimashiri/SSD1/torch_api_examples/3860.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/3860.py"", line 5, in <module>
    LU,pivots=torch.linalg.lu_factor(A)
AttributeError: module 'torch.linalg' has no attribute 'lu_factor'
"
/media/nimashiri/SSD1/torch_api_examples/3890.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/3890.py"", line 5, in <module>
    torch.linalg.matrix_power(A,0)
AttributeError: module 'torch.linalg' has no attribute 'matrix_power'
"
/media/nimashiri/SSD1/torch_api_examples/3910.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/3910.py"", line 8, in <module>
    torch.linalg.matrix_exp(A)
AttributeError: module 'torch.linalg' has no attribute 'matrix_exp'
"
/media/nimashiri/SSD1/torch_api_examples/3950.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/3950.py"", line 6, in <module>
    Q=torch.linalg.householder_product(h,tau)
AttributeError: module 'torch.linalg' has no attribute 'householder_product'
"
/media/nimashiri/SSD1/torch_api_examples/4000.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/4000.py"", line 13, in <module>
    torch.dist(a_big,torch.matmul(torch.matmul(u,torch.diag_embed(s)),v.mT))
AttributeError: 'Tensor' object has no attribute 'mT'
"
/media/nimashiri/SSD1/torch_api_examples/4030.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/4030.py"", line 11, in <module>
    a_big=a_big+a_big.mT# To make a_big symmetric
AttributeError: 'Tensor' object has no attribute 'mT'
"
/media/nimashiri/SSD1/torch_api_examples/4060.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/4060.py"", line 6, in <module>
    torch.trapezoid(y)
AttributeError: module 'torch' has no attribute 'trapezoid'
"
/media/nimashiri/SSD1/torch_api_examples/4070.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/4070.py"", line 6, in <module>
    torch.cumulative_trapezoid(y)
AttributeError: module 'torch' has no attribute 'cumulative_trapezoid'
"
/media/nimashiri/SSD1/torch_api_examples/4140.py,"[W Context.cpp:69] Warning: torch.use_deterministic_algorithms is in beta, and its design and functionality may change in the future. (function operator())
Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/4140.py"", line 5, in <module>
    torch.randn(10,device='cuda').kthvalue(0)
RuntimeError: kthvalue CUDA does not have a deterministic implementation, but you set 'torch.use_deterministic_algorithms(True)'. You can turn off determinism just for this operation if that's acceptable for your application. You can also file an issue at https://github.com/pytorch/pytorch/issues to help us prioritize adding deterministic support for this operation.
"
/media/nimashiri/SSD1/torch_api_examples/4370.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/4370.py"", line 4, in <module>
    m=nn.Conv1d(16,33,3,stride=2)
NameError: name 'nn' is not defined
"
/media/nimashiri/SSD1/torch_api_examples/4720.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/4720.py"", line 5, in <module>
    m=nn.ReflectionPad3d(1)
AttributeError: module 'torch.nn' has no attribute 'ReflectionPad3d'
"
/media/nimashiri/SSD1/torch_api_examples/4870.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/4870.py"", line 5, in <module>
    multihead_attn=nn.MultiheadAttention(embed_dim,num_heads)
NameError: name 'embed_dim' is not defined
"
/media/nimashiri/SSD1/torch_api_examples/5110.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/5110.py"", line 5, in <module>
    m=nn.BatchNorm2d(100)
NameError: name 'nn' is not defined
"
/media/nimashiri/SSD1/torch_api_examples/5170.py,"  File ""/media/nimashiri/SSD1/torch_api_examples/5170.py"", line 14
    process_groups=[torch.distributed.new_group(pids)forpidsin[r1,r2]]
                                                     ^
SyntaxError: invalid syntax
"
/media/nimashiri/SSD1/torch_api_examples/530.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/530.py"", line 5, in <module>
    torch.argwhere(t)
AttributeError: module 'torch' has no attribute 'argwhere'
"
/media/nimashiri/SSD1/torch_api_examples/5430.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/5430.py"", line 5, in <module>
    m=nn.Dropout1d(p=0.2)
AttributeError: module 'torch.nn' has no attribute 'Dropout1d'
"
/media/nimashiri/SSD1/torch_api_examples/5490.py,"Traceback (most recent call last):
  File ""/media/nimashiri/SSD1/torch_api_examples/5490.py"", line 12, in <module>
    embedding_sum=nn.EmbeddingBag(10,3,mode='sum',padding_idx=2)
  File ""/home/nimashiri/.local/lib/python3.8/site-packages/torch/decorate_cls.py"", line 98, in new_init
    old_init(self, *args, **kwargs)
TypeError: __init__() got an unexpected keyword argument 'padding_idx'
"
