Raw_API,Full_API,Description
tf.debugging.Assert,"tf.debugging.Assert(
    condition, data, summarize=None, name=None
)
",Asserts that the given condition is true.View aliases
tf.CriticalSection,"tf.CriticalSection(
    name=None, shared_name=None, critical_section_def=None, import_scope=None
)
",Critical section.View aliases
tf.DeviceSpec,"tf.DeviceSpec(
    job=None, replica=None, task=None, device_type=None, device_index=None
)
",Represents a (possibly partial) specification for a TensorFlow device.
tf.GradientTape,"tf.GradientTape(
    persistent=False, watch_accessed_variables=True
)
",Record operations for automatic differentiation.View aliases
tf.IndexedSlices,"tf.IndexedSlices(
    values, indices, dense_shape=None
)
",A sparse representation of a set of tensor slices at given indices.View aliases
tf.IndexedSlicesSpec,"tf.IndexedSlicesSpec(
    shape=None,
    dtype=tf.dtypes.float32,
    indices_dtype=tf.dtypes.int64,
    dense_shape_dtype=None,
    indices_shape=None
)
","Type specification for a tf.IndexedSlices.Inherits From: TypeSpec, TraceTypeView aliases"
tf.Module,"tf.Module(
    name=None
)
",Base neural network module class.View aliases
tf.Operation,"tf.Operation(
    node_def,
    g,
    inputs=None,
    output_types=None,
    control_inputs=None,
    input_types=None,
    original_op=None,
    op_def=None
)
",Represents a graph node that performs computation on tensors.View aliases
tf.OptionalSpec,"tf.OptionalSpec(
    element_spec
)
","Type specification for tf.experimental.Optional.Inherits From: TypeSpec, TraceTypeView aliases"
tf.ragged.constant,"tf.ragged.constant([[0], [1, 2]]).shape","Represents a ragged tensor.View aliasesUsed in the notebooksA RaggedTensor is a tensor with one or more ragged dimensions, which aredimensions whose slices may have different lengths.  For example, the inner(column) dimension of rt=[[3, 1, 4, 1], [], [5, 9, 2], [6], []] is ragged,since the column slices (rt[0, :], ..., rt[4, :]) have different lengths.Dimensions whose slices all have the same length are called uniformdimensions.  The outermost dimension of a RaggedTensor is always uniform,since it consists of a single slice (and so there is no possibility fordiffering slice lengths).The total number of dimensions in a RaggedTensor is called its rank,and the number of ragged dimensions in a RaggedTensor is called itsragged-rank.  A RaggedTensor's ragged-rank is fixed at graph creationtime: it can't depend on the runtime values of Tensors, and can't varydynamically for different session runs.Note that the __init__ constructor is private. Please use one of thefollowing methods to construct a RaggedTensor:tf.RaggedTensor.from_row_lengthstf.RaggedTensor.from_value_rowidstf.RaggedTensor.from_row_splitstf.RaggedTensor.from_row_startstf.RaggedTensor.from_row_limitstf.RaggedTensor.from_nested_row_splitstf.RaggedTensor.from_nested_row_lengthstf.RaggedTensor.from_nested_value_rowidsPotentially Ragged TensorsMany ops support both Tensors and RaggedTensors(see tf.ragged for afull listing). The term ""potentially ragged tensor"" may be used to refer to atensor that might be either a Tensor or a RaggedTensor.  The ragged-rankof a Tensor is zero.Documenting RaggedTensor ShapesWhen documenting the shape of a RaggedTensor, ragged dimensions can beindicated by enclosing them in parentheses.  For example, the shape ofa 3-D RaggedTensor that stores the fixed-size word embedding for eachword in a sentence, for each sentence in a batch, could be written as[num_sentences, (num_words), embedding_size].  The parentheses around(num_words) indicate that dimension is ragged, and that the lengthof each element list in that dimension may vary for each item.Component TensorsInternally, a RaggedTensor consists of a concatenated list of values thatare partitioned into variable-length rows.  In particular, each RaggedTensorconsists of:A A Example:print(tf.RaggedTensor.from_row_splits(      values=[3, 1, 4, 1, 5, 9, 2, 6],      row_splits=[0, 4, 4, 7, 8, 8]))<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>Alternative Row-Partitioning SchemesIn addition to row_splits, ragged tensors provide support for five otherrow-partitioning schemes:row_lengthsvalue_rowidsrow_startsrow_limitsuniform_row_lengthExample: The following ragged tensors are equivalent, and all represent thenested list [[3, 1, 4, 1], [], [5, 9, 2], [6], []].values = [3, 1, 4, 1, 5, 9, 2, 6]RaggedTensor.from_row_splits(values, row_splits=[0, 4, 4, 7, 8, 8])<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>RaggedTensor.from_row_lengths(values, row_lengths=[4, 0, 3, 1, 0])<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>RaggedTensor.from_value_rowids(    values, value_rowids=[0, 0, 0, 0, 2, 2, 2, 3], nrows=5)<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>RaggedTensor.from_row_starts(values, row_starts=[0, 4, 4, 7, 8])<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>RaggedTensor.from_row_limits(values, row_limits=[4, 4, 7, 8, 8])<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>RaggedTensor.from_uniform_row_length(values, uniform_row_length=2)<tf.RaggedTensor [[3, 1], [4, 1], [5, 9], [2, 6]]>Multiple Ragged DimensionsRaggedTensors with multiple ragged dimensions can be defined by usinga nested RaggedTensor for the values tensor.  Each nested RaggedTensoradds a single ragged dimension.inner_rt = RaggedTensor.from_row_splits(  # =rt1 from above    values=[3, 1, 4, 1, 5, 9, 2, 6], row_splits=[0, 4, 4, 7, 8, 8])outer_rt = RaggedTensor.from_row_splits(    values=inner_rt, row_splits=[0, 3, 3, 5])print(outer_rt.to_list())[[[3, 1, 4, 1], [], [5, 9, 2]], [], [[6], []]]print(outer_rt.ragged_rank)2The factory function RaggedTensor.from_nested_row_splits may be used toconstruct a RaggedTensor with multiple ragged dimensions directly, byproviding a list of row_splits tensors:RaggedTensor.from_nested_row_splits(    flat_values=[3, 1, 4, 1, 5, 9, 2, 6],    nested_row_splits=([0, 3, 3, 5], [0, 4, 4, 7, 8, 8])).to_list()[[[3, 1, 4, 1], [], [5, 9, 2]], [], [[6], []]]Uniform Inner DimensionsRaggedTensors with uniform inner dimensions can be definedby using a multidimensional Tensor for values.rt = RaggedTensor.from_row_splits(values=tf.ones([5, 3], tf.int32),                                  row_splits=[0, 2, 5])print(rt.to_list())[[[1, 1, 1], [1, 1, 1]], [[1, 1, 1], [1, 1, 1], [1, 1, 1]]]print(rt.shape)(2, None, 3)Uniform Outer DimensionsRaggedTensors with uniform outer dimensions can be defined by usingone or more RaggedTensor with a uniform_row_length row-partitioningtensor.  For example, a RaggedTensor with shape [2, 2, None] can beconstructed with this method from a RaggedTensor values with shape[4, None]:values = tf.ragged.constant([[1, 2, 3], [4], [5, 6], [7, 8, 9, 10]])print(values.shape)(4, None)rt6 = tf.RaggedTensor.from_uniform_row_length(values, 2)print(rt6)<tf.RaggedTensor [[[1, 2, 3], [4]], [[5, 6], [7, 8, 9, 10]]]>print(rt6.shape)(2, 2, None)Note that rt6 only contains one ragged dimension (the innermostdimension). In contrast, if from_row_splits is used to construct a similarRaggedTensor, then that RaggedTensor will have two ragged dimensions:rt7 = tf.RaggedTensor.from_row_splits(values, [0, 2, 4])print(rt7.shape)(2, None, None)Uniform and ragged outer dimensions may be interleaved, meaning that atensor with any combination of ragged and uniform dimensions may be created.For example, a RaggedTensor t4 with shape [3, None, 4, 8, None, 2] couldbe constructed as follows:t0 = tf.zeros([1000, 2])                           # Shape:         [1000, 2]t1 = RaggedTensor.from_row_lengths(t0, [...])      #           [160, None, 2]t2 = RaggedTensor.from_uniform_row_length(t1, 8)   #         [20, 8, None, 2]t3 = RaggedTensor.from_uniform_row_length(t2, 4)   #       [5, 4, 8, None, 2]t4 = RaggedTensor.from_row_lengths(t3, [...])      # [3, None, 4, 8, None, 2]Concretely, if rt.values is a Tensor, then rt.flat_values isrt.values; otherwise, rt.flat_values is rt.values.flat_values.Conceptually, flat_values is the tensor formed by flattening theoutermost dimension and all of the ragged dimensions into a singledimension.rt.flat_values.shape = [nvals] + rt.shape[rt.ragged_rank + 1:](where nvals is the number of items in the flattened dimensions).Example:rt = tf.ragged.constant([[[3, 1, 4, 1], [], [5, 9, 2]], [], [[6], []]])print(rt.flat_values)tf.Tensor([3 1 4 1 5 9 2 6], shape=(8,), dtype=int32)rt.nested_row_splits is a tuple containing the row_splits tensors forall ragged dimensions in rt, ordered from outermost to innermost.  Inparticular, rt.nested_row_splits = (rt.row_splits,) + value_splits where:* `value_splits = ()` if `rt.values` is a `Tensor`.* `value_splits = rt.values.nested_row_splits` otherwise.Example:rt = tf.ragged.constant(    [[[[3, 1, 4, 1], [], [5, 9, 2]], [], [[6], []]]])for i, splits in enumerate(rt.nested_row_splits):  print('Splits for dimension %d: %s' % (i+1, splits.numpy()))Splits for dimension 1: [0 3]Splits for dimension 2: [0 3 3 5]Splits for dimension 3: [0 4 4 7 8 8]values = tf.ragged.constant([[1, 2, 3], [4], [5, 6], [7, 8, 9, 10]])values.ragged_rank1rt = tf.RaggedTensor.from_uniform_row_length(values, 2)rt.ragged_rank2rt.row_splits specifies where the values for each row begin and end inrt.values.  In particular, the values for row rt[i] are stored inthe slice rt.values[rt.row_splits[i]:rt.row_splits[i+1]].Example:rt = tf.ragged.constant([[3, 1, 4, 1], [], [5, 9, 2], [6], []])print(rt.row_splits)  # indices of row splits in rt.valuestf.Tensor([0 4 4 7 8 8], shape=(6,), dtype=int64)"
