Full, Raw
"tf.raw_ops.QuantizeAndDequantizeV3(
    input,
    input_min,
    input_max,
    num_bits,
    signed_input=True,
    range_given=True,
    narrow_range=False,
    axis=-1,
    name=None
)
",tf.raw_ops.QuantizeAndDequantizeV3
"tf.quantization.fake_quant_with_min_max_vars_gradient(
    gradients, inputs, min, max, num_bits=8, narrow_range=False, name=None
)
",tf.quantization.fake_quant_with_min_max_vars_gradient
"tf.random.gamma(
    shape,
    alpha,
    beta=None,
    dtype=tf.dtypes.float32,
    seed=None,
    name=None
)
",tf.random.gamma
"tf.raw_ops.RandomPoissonV2(
    shape,
    rate,
    seed=0,
    seed2=0,
    dtype=tf.dtypes.int64,
    name=None
)
",tf.raw_ops.RandomPoissonV2
"tf.raw_ops.Unbatch(
    batched_tensor,
    batch_index,
    id,
    timeout_micros,
    container='',
    shared_name='',
    name=None
)
",tf.raw_ops.Unbatch
"tf.raw_ops.DrawBoundingBoxes(
    images, boxes, name=None
)
",tf.raw_ops.DrawBoundingBoxes
"tf.raw_ops.Eig(
    input, Tout, compute_v=True, name=None
)
",tf.raw_ops.Eig
"tf.raw_ops.Conv2DBackpropInput(
    input_sizes,
    filter,
    out_backprop,
    strides,
    padding,
    use_cudnn_on_gpu=True,
    explicit_paddings=[],
    data_format='NHWC',
    dilations=[1, 1, 1, 1],
    name=None
)
",tf.raw_ops.Conv2DBackpropInput
"tf.raw_ops.EmptyTensorList(
    element_shape, max_num_elements, element_dtype, name=None
)
",tf.raw_ops.EmptyTensorList
"tf.sparse.cross(
    inputs, name=None, separator=None
)
",tf.sparse.cross
"tf.raw_ops.Conv2D(
    input,
    filter,
    strides,
    padding,
    use_cudnn_on_gpu=True,
    explicit_paddings=[],
    data_format='NHWC',
    dilations=[1, 1, 1, 1],
    name=None
)
",tf.raw_ops.Conv2D
"tf.raw_ops.AudioSummaryV2(
    tag, tensor, sample_rate, max_outputs=3, name=None
)
",tf.raw_ops.AudioSummaryV2
"tf.raw_ops.CollectiveGather(
    input,
    group_size,
    group_key,
    instance_key,
    shape,
    communication_hint='auto',
    timeout_seconds=0,
    name=None
)
",tf.raw_ops.CollectiveGather
"tf.raw_ops.SetSize(
    set_indices, set_values, set_shape, validate_indices=True, name=None
)
",tf.raw_ops.SetSize
"tf.raw_ops.TensorListFromTensor(
    tensor, element_shape, name=None
)
",tf.raw_ops.TensorListFromTensor
"tf.raw_ops.TensorListScatter(
    tensor, indices, element_shape, name=None
)
",tf.raw_ops.TensorListScatter
"tf.raw_ops.TensorListScatterV2(
    tensor, indices, element_shape, num_elements, name=None
)
",tf.raw_ops.TensorListScatterV2
"tf.quantization.fake_quant_with_min_max_vars_per_channel_gradient(
    gradients, inputs, min, max, num_bits=8, narrow_range=False, name=None
)
",tf.quantization.fake_quant_with_min_max_vars_per_channel_gradient
"tf.raw_ops.MaxPool(
    input,
    ksize,
    strides,
    padding,
    explicit_paddings=[],
    data_format='NHWC',
    name=None
)
",tf.raw_ops.MaxPool
"tf.linalg.matrix_rank(
    a, tol=None, validate_args=False, name=None
)
",tf.linalg.matrix_rank
"tf.raw_ops.DenseBincount(
    input, size, weights, binary_output=False, name=None
)
",tf.raw_ops.DenseBincount
"tf.raw_ops.RaggedBincount(
    splits, values, size, weights, binary_output=False, name=None
)
",tf.raw_ops.RaggedBincount
"tf.raw_ops.LRNGrad(
    input_grads,
    input_image,
    output_image,
    depth_radius=5,
    bias=1,
    alpha=1,
    beta=0.5,
    name=None
)
",tf.raw_ops.LRNGrad
"tf.raw_ops.ParameterizedTruncatedNormal(
    shape, means, stdevs, minvals, maxvals, seed=0, seed2=0, name=None
)
",tf.raw_ops.ParameterizedTruncatedNormal
"tf.raw_ops.Save(
    filename, tensor_names, data, name=None
)
",tf.raw_ops.Save
"tf.raw_ops.SparseBincount(
    indices, values, dense_shape, size, weights, binary_output=False, name=None
)
",tf.raw_ops.SparseBincount
"tf.raw_ops.RaggedTensorToVariant(
    rt_nested_splits, rt_dense_values, batched_input, name=None
)
",tf.raw_ops.RaggedTensorToVariant
"tf.raw_ops.FractionalMaxPoolGrad(
    orig_input,
    orig_output,
    out_backprop,
    row_pooling_sequence,
    col_pooling_sequence,
    overlapping=False,
    name=None
)
",tf.raw_ops.FractionalMaxPoolGrad
"tf.raw_ops.QuantizedRelu(
    features,
    min_features,
    max_features,
    out_type=tf.dtypes.quint8,
    name=None
)
",tf.raw_ops.QuantizedRelu
"tf.raw_ops.QuantizedRelu6(
    features,
    min_features,
    max_features,
    out_type=tf.dtypes.quint8,
    name=None
)
",tf.raw_ops.QuantizedRelu6
"tf.raw_ops.QuantizeDownAndShrinkRange(
    input, input_min, input_max, out_type, name=None
)
",tf.raw_ops.QuantizeDownAndShrinkRange
"tf.raw_ops.QuantizedMatMul(
    a,
    b,
    min_a,
    max_a,
    min_b,
    max_b,
    Toutput=tf.dtypes.qint32,
    transpose_a=False,
    transpose_b=False,
    Tactivation=tf.dtypes.quint8,
    name=None
)
",tf.raw_ops.QuantizedMatMul
"tf.raw_ops.FakeQuantWithMinMaxVarsPerChannel(
    inputs, min, max, num_bits=8, narrow_range=False, name=None
)
",tf.raw_ops.FakeQuantWithMinMaxVarsPerChannel
"tf.raw_ops.QuantizedBiasAdd(
    input, bias, min_input, max_input, min_bias, max_bias, out_type, name=None
)
",tf.raw_ops.QuantizedBiasAdd
"tf.raw_ops.Requantize(
    input,
    input_min,
    input_max,
    requested_output_min,
    requested_output_max,
    out_type,
    name=None
)
",tf.raw_ops.Requantize
